# 用途：待抓取文档清单，fetch.py 的输入。列：doc_id / 层 / 组件 / 来源类型 / 标题 / 网址。由第 2 步维护。
DOC-K8S-CONFIG-BEST	11	Kubernetes	linter-ruleset	Configuration Best Practices	https://kubernetes.io/docs/concepts/configuration/overview/
DOC-POLARIS-RELIABILITY	11	Polaris	linter-ruleset	Polaris Checks - Reliability	https://polaris.docs.fairwinds.com/checks/reliability/
DOC-POLARIS-RESOURCES	11	Polaris	linter-ruleset	Polaris Checks - Efficiency (resources)	https://polaris.docs.fairwinds.com/checks/efficiency/
DOC-KUBESCORE-CHECKS	11	kube-score	linter-ruleset	kube-score checks	https://raw.githubusercontent.com/zegl/kube-score/master/README_CHECKS.md
DOC-KUBELINTER-CHECKS	11	kube-linter	linter-ruleset	KubeLinter generated checks	https://raw.githubusercontent.com/stackrox/kube-linter/main/docs/generated/checks.md
DOC-ISTIO-ANALYZERS	11	Istio	linter-ruleset	Istio configuration analysis messages	https://istio.io/latest/docs/reference/config/analysis/
DOC-SRE-OVERLOAD	10	Google SRE	curated-guideline	SRE Book ch.21 Handling Overload	https://sre.google/sre-book/handling-overload/
DOC-SRE-CASCADING	10	Google SRE	curated-guideline	SRE Book ch.22 Addressing Cascading Failures	https://sre.google/sre-book/addressing-cascading-failures/
DOC-SRE-WORKBOOK-OVERLOAD	10	Google SRE	curated-guideline	SRE Workbook ch.11 Managing Load	https://sre.google/workbook/managing-load/
DOC-AWS-TIMEOUTS	10	AWS Builders Library	curated-guideline	Timeouts, retries and backoff with jitter	https://web.archive.org/web/2024/https://aws.amazon.com/builders-library/timeouts-retries-and-backoff-with-jitter/
DOC-AWS-HEALTHCHECKS	10	AWS Builders Library	curated-guideline	Implementing health checks	https://web.archive.org/web/2024/https://aws.amazon.com/builders-library/implementing-health-checks/
DOC-AWS-FALLBACK	10	AWS Builders Library	curated-guideline	Avoiding fallback in distributed systems	https://web.archive.org/web/2024/https://aws.amazon.com/builders-library/avoiding-fallback-in-distributed-systems/
DOC-AWS-LOADSHED	10	AWS Builders Library	curated-guideline	Using load shedding to avoid overload	https://web.archive.org/web/2024/https://aws.amazon.com/builders-library/using-load-shedding-to-avoid-overload/
DOC-AWS-RETRY-IDEMPOTENT	10	AWS Builders Library	curated-guideline	Making retries safe with idempotent APIs	https://web.archive.org/web/2024/https://aws.amazon.com/builders-library/making-retries-safe-with-idempotent-APIs/
DOC-AWS-WAF-REL	10	AWS Well-Architected	curated-guideline	Reliability Pillar - Design interactions to prevent failures	https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_mitigate_interaction_failure_graceful_degradation.html
DOC-AZ-PATTERN-RETRY	10	Azure Architecture Center	pattern-catalog	Retry pattern	https://learn.microsoft.com/en-us/azure/architecture/patterns/retry
DOC-AZ-PATTERN-CB	10	Azure Architecture Center	pattern-catalog	Circuit Breaker pattern	https://learn.microsoft.com/en-us/azure/architecture/patterns/circuit-breaker
DOC-AZ-PATTERN-BULKHEAD	10	Azure Architecture Center	pattern-catalog	Bulkhead pattern	https://learn.microsoft.com/en-us/azure/architecture/patterns/bulkhead
DOC-AZ-PATTERN-HEM	10	Azure Architecture Center	pattern-catalog	Health Endpoint Monitoring pattern	https://learn.microsoft.com/en-us/azure/architecture/patterns/health-endpoint-monitoring
DOC-AZ-PATTERN-THROTTLE	10	Azure Architecture Center	pattern-catalog	Throttling pattern	https://learn.microsoft.com/en-us/azure/architecture/patterns/throttling
DOC-AZ-PATTERN-QBLL	10	Azure Architecture Center	pattern-catalog	Queue-Based Load Leveling pattern	https://learn.microsoft.com/en-us/azure/architecture/patterns/queue-based-load-leveling
DOC-AZ-PATTERN-SAGA	10	Azure Architecture Center	pattern-catalog	Saga distributed transactions pattern	https://learn.microsoft.com/en-us/azure/architecture/patterns/saga
DOC-AZ-PATTERN-LEADER	10	Azure Architecture Center	pattern-catalog	Leader Election pattern	https://learn.microsoft.com/en-us/azure/architecture/patterns/leader-election
DOC-AZ-TRANSIENT	10	Azure Architecture Center	curated-guideline	Transient fault handling best practices	https://learn.microsoft.com/en-us/azure/architecture/best-practices/transient-faults
DOC-AZ-WAF-REL-CHECKLIST	10	Azure Well-Architected	curated-guideline	Reliability design review checklist	https://learn.microsoft.com/en-us/azure/well-architected/reliability/checklist
DOC-AZ-WAF-SELFPRES	10	Azure Well-Architected	curated-guideline	Recommendations for self-preservation and self-healing	https://learn.microsoft.com/en-us/azure/well-architected/reliability/self-preservation
DOC-AZ-WAF-BACKGROUND	10	Azure Well-Architected	curated-guideline	Recommendations for handling transient faults	https://learn.microsoft.com/en-us/azure/well-architected/reliability/handle-transient-faults
DOC-AZ-WAF-REDUNDANCY	10	Azure Well-Architected	curated-guideline	Recommendations for designing for redundancy	https://learn.microsoft.com/en-us/azure/well-architected/reliability/redundancy
DOC-GCP-AF-RELIABILITY	10	Google Cloud Architecture Framework	curated-guideline	Reliability pillar	https://cloud.google.com/architecture/framework/reliability
DOC-MSIO-CIRCUITBREAKER	10	microservices.io	pattern-catalog	Pattern: Circuit Breaker	https://microservices.io/patterns/reliability/circuit-breaker.html
DOC-MSIO-SAGA	10	microservices.io	pattern-catalog	Pattern: Saga	https://microservices.io/patterns/data/saga.html
DOC-MSIO-OUTBOX	10	microservices.io	pattern-catalog	Pattern: Transactional outbox	https://microservices.io/patterns/data/transactional-outbox.html
DOC-MSIO-HEALTHCHECK	10	microservices.io	pattern-catalog	Pattern: Health Check API	https://microservices.io/patterns/observability/health-check-api.html
DOC-MSIO-IDEMPOTENT	10	microservices.io	pattern-catalog	Pattern: Idempotent Consumer	https://microservices.io/patterns/communication-style/idempotent-consumer.html
DOC-K8S-PROBES-TASK	1	Kubernetes	official-doc	Configure Liveness, Readiness and Startup Probes	https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/
DOC-K8S-POD-LIFECYCLE	1	Kubernetes	official-doc	Pod Lifecycle (container probes)	https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle/
DOC-K8S-DISRUPTIONS	1	Kubernetes	official-doc	Disruptions (PodDisruptionBudget)	https://kubernetes.io/docs/concepts/workloads/pods/disruptions/
DOC-K8S-PDB-TASK	1	Kubernetes	official-doc	Specifying a Disruption Budget for your Application	https://kubernetes.io/docs/tasks/run-application/configure-pdb/
DOC-K8S-RESOURCES	1	Kubernetes	official-doc	Resource Management for Pods and Containers	https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/
DOC-K8S-QOS	1	Kubernetes	official-doc	Pod Quality of Service Classes	https://kubernetes.io/docs/concepts/workloads/pods/pod-qos/
DOC-K8S-HPA	1	Kubernetes	official-doc	Horizontal Pod Autoscaling	https://kubernetes.io/docs/tasks/run-application/horizontal-pod-autoscale/
DOC-K8S-TOPOSPREAD	1	Kubernetes	official-doc	Pod Topology Spread Constraints	https://kubernetes.io/docs/concepts/scheduling-eviction/topology-spread-constraints/
DOC-K8S-AFFINITY	1	Kubernetes	official-doc	Assigning Pods to Nodes (affinity and anti-affinity)	https://kubernetes.io/docs/concepts/scheduling-eviction/assign-pod-node/
DOC-K8S-PRIORITY	1	Kubernetes	official-doc	Pod Priority and Preemption	https://kubernetes.io/docs/concepts/scheduling-eviction/pod-priority-preemption/
DOC-K8S-EVICTION	1	Kubernetes	official-doc	Node-pressure Eviction	https://kubernetes.io/docs/concepts/scheduling-eviction/node-pressure-eviction/
DOC-K8S-STATEFULSET	1	Kubernetes	official-doc	StatefulSets	https://kubernetes.io/docs/concepts/workloads/controllers/statefulset/
DOC-K8S-STORAGE-PV	1	Kubernetes	official-doc	Persistent Volumes	https://kubernetes.io/docs/concepts/storage/persistent-volumes/
DOC-ENVOY-TIMEOUTS	2	Envoy	official-doc	Envoy FAQ - Timeouts	https://www.envoyproxy.io/docs/envoy/latest/faq/configuration/timeouts
DOC-ENVOY-CB	2	Envoy	official-doc	Circuit breaking	https://www.envoyproxy.io/docs/envoy/latest/intro/arch_overview/upstream/circuit_breaking
DOC-ENVOY-OUTLIER	2	Envoy	official-doc	Outlier detection	https://www.envoyproxy.io/docs/envoy/latest/intro/arch_overview/upstream/outlier
DOC-ENVOY-HEALTHCHECK	2	Envoy	official-doc	Health checking	https://www.envoyproxy.io/docs/envoy/latest/intro/arch_overview/upstream/health_checking
DOC-ENVOY-ROUTE-PROTO	2	Envoy	official-doc	HTTP route components (timeout, retry_policy)	https://www.envoyproxy.io/docs/envoy/latest/api-v3/config/route/v3/route_components.proto
DOC-ENVOY-CLUSTER-PROTO	2	Envoy	official-doc	Cluster configuration (circuit breakers thresholds)	https://www.envoyproxy.io/docs/envoy/latest/api-v3/config/cluster/v3/circuit_breaker.proto
DOC-ENVOY-OVERLOAD	2	Envoy	official-doc	Overload manager	https://www.envoyproxy.io/docs/envoy/latest/configuration/operations/overload_manager/overload_manager
DOC-ISTIO-TIMEOUTS	2	Istio	official-doc	Request Timeouts task	https://istio.io/latest/docs/tasks/traffic-management/request-timeouts/
DOC-ISTIO-CB	2	Istio	official-doc	Circuit Breaking task	https://istio.io/latest/docs/tasks/traffic-management/circuit-breaking/
DOC-ISTIO-DR	2	Istio	official-doc	DestinationRule reference	https://istio.io/latest/docs/reference/config/networking/destination-rule/
DOC-ISTIO-VS	2	Istio	official-doc	VirtualService reference (HTTPRetry, timeout)	https://istio.io/latest/docs/reference/config/networking/virtual-service/
DOC-LINKERD-RETRY	2	Linkerd	official-doc	Retries and Timeouts	https://linkerd.io/2.17/features/retries-and-timeouts/
DOC-LINKERD-CB	2	Linkerd	official-doc	Circuit Breaking	https://linkerd.io/2.17/tasks/circuit-breakers/
DOC-NGINX-PROXY	2	NGINX	official-doc	ngx_http_proxy_module	https://nginx.org/en/docs/http/ngx_http_proxy_module.html
DOC-NGINX-UPSTREAM	2	NGINX	official-doc	ngx_http_upstream_module	https://nginx.org/en/docs/http/ngx_http_upstream_module.html
DOC-INGRESSNGINX-ANNOT	2	ingress-nginx	official-doc	NGINX Ingress annotations	https://kubernetes.github.io/ingress-nginx/user-guide/nginx-configuration/annotations/
DOC-KONG-HEALTH	2	Kong	official-doc	Health Checks and Circuit Breakers	https://docs.konghq.com/gateway/latest/how-kong-works/health-checks/
DOC-APISIX-UPSTREAM	2	APISIX	official-doc	Upstream (health checks, timeout, retries)	https://apisix.apache.org/docs/apisix/terminology/upstream/
DOC-APISIX-APIBREAKER	2	APISIX	official-doc	api-breaker plugin	https://apisix.apache.org/docs/apisix/plugins/api-breaker/
DOC-APISIX-LIMITREQ	2	APISIX	official-doc	limit-req plugin	https://apisix.apache.org/docs/apisix/plugins/limit-req/
DOC-HAPROXY-INTRO	2	HAProxy	official-doc	HAProxy configuration manual (timeouts, health checks)	https://docs.haproxy.org/2.8/configuration.html
DOC-GRPC-DEADLINES	3	gRPC	official-doc	Deadlines	https://grpc.io/docs/guides/deadlines/
DOC-GRPC-RETRY	3	gRPC	official-doc	Retry	https://grpc.io/docs/guides/retry/
DOC-GRPC-CANCELLATION	3	gRPC	official-doc	Cancellation	https://grpc.io/docs/guides/cancellation/
DOC-GRPC-HEALTH	3	gRPC	official-doc	Health Checking	https://grpc.io/docs/guides/health-checking/
DOC-GRPC-KEEPALIVE	3	gRPC	official-doc	Keepalive	https://grpc.io/docs/guides/keepalive/
DOC-GRPC-WAITFORREADY	3	gRPC	official-doc	Wait-for-Ready	https://grpc.io/docs/guides/wait-for-ready/
DOC-GRPC-HEDGING	3	gRPC	official-doc	gRFC A6 client retries (hedging)	https://raw.githubusercontent.com/grpc/proposal/master/A6-client-retries.md
DOC-DUBBO-CONFIG	3	Dubbo	official-doc	Dubbo 配置项参考手册	https://cn.dubbo.apache.org/zh-cn/overview/mannual/java-sdk/reference-manual/config/properties/
DOC-SPRING-RESTCLIENT	3	Spring Boot	official-doc	REST Clients (timeouts)	https://docs.spring.io/spring-boot/reference/io/rest-client.html
DOC-GO-NETHTTP-CLIENT	3	Go net/http	official-doc	net/http Client and Transport	https://pkg.go.dev/net/http
DOC-NODE-HTTP	3	Node.js http	official-doc	HTTP (timeouts, agent)	https://nodejs.org/api/http.html
DOC-PY-REQUESTS	3	Python requests	official-doc	Advanced Usage - Timeouts	https://requests.readthedocs.io/en/latest/user/advanced/
DOC-PY-HTTPX-TIMEOUT	3	Python httpx	official-doc	Timeouts	https://www.python-httpx.org/advanced/timeouts/
DOC-DOTNET-HTTPCLIENT	3	.NET HttpClient	official-doc	HttpClient guidelines for .NET	https://learn.microsoft.com/en-us/dotnet/fundamentals/networking/http/httpclient-guidelines
DOC-DOTNET-HTTPFACTORY	3	.NET HttpClient	official-doc	IHttpClientFactory with .NET	https://learn.microsoft.com/en-us/dotnet/core/extensions/httpclient-factory
DOC-R4J-CB	4	Resilience4j	official-doc	CircuitBreaker	https://resilience4j.readme.io/docs/circuitbreaker
DOC-R4J-TIMELIMITER	4	Resilience4j	official-doc	TimeLimiter	https://resilience4j.readme.io/docs/timeout
DOC-R4J-BULKHEAD	4	Resilience4j	official-doc	Bulkhead	https://resilience4j.readme.io/docs/bulkhead
DOC-R4J-RETRY	4	Resilience4j	official-doc	Retry	https://resilience4j.readme.io/docs/retry
DOC-R4J-RATELIMITER	4	Resilience4j	official-doc	RateLimiter	https://resilience4j.readme.io/docs/ratelimiter
DOC-SENTINEL-FLOW	4	Sentinel	official-doc	流量控制	https://sentinelguard.io/zh-cn/docs/flow-control.html
DOC-SENTINEL-CB	4	Sentinel	official-doc	熔断降级	https://sentinelguard.io/zh-cn/docs/circuit-breaking.html
DOC-SENTINEL-SYSTEM	4	Sentinel	official-doc	系统自适应保护	https://sentinelguard.io/zh-cn/docs/system-adaptive-protection.html
DOC-SENTINEL-THREADISOLATION	4	Sentinel	official-doc	основные concepts 并发线程数限流	https://sentinelguard.io/zh-cn/docs/basic-api-resource-rule.html
DOC-POLLY-RETRY	4	Polly	official-doc	Retry resilience strategy	https://www.pollydocs.org/strategies/retry.html
DOC-POLLY-CB	4	Polly	official-doc	Circuit breaker resilience strategy	https://www.pollydocs.org/strategies/circuit-breaker.html
DOC-POLLY-TIMEOUT	4	Polly	official-doc	Timeout resilience strategy	https://www.pollydocs.org/strategies/timeout.html
DOC-POLLY-RATELIMIT	4	Polly	official-doc	Rate limiter resilience strategy	https://www.pollydocs.org/strategies/rate-limiter.html
DOC-FAILSAFE-CB	4	Failsafe	official-doc	Circuit Breaker	https://failsafe.dev/circuit-breaker/
DOC-FAILSAFE-RETRY	4	Failsafe	official-doc	Retry	https://failsafe.dev/retry/
DOC-FAILSAFE-TIMEOUT	4	Failsafe	official-doc	Timeout	https://failsafe.dev/timeout/
DOC-SPRING-RETRY	4	Spring Retry	official-doc	Spring Retry README	https://raw.githubusercontent.com/spring-projects/spring-retry/main/README.md
DOC-SCCB	4	Spring Cloud CircuitBreaker	official-doc	Spring Cloud Circuit Breaker reference	https://docs.spring.io/spring-cloud-circuitbreaker/reference/
DOC-GOBREAKER	4	gobreaker	official-doc	sony/gobreaker package docs	https://pkg.go.dev/github.com/sony/gobreaker
DOC-HYSTRIX-HOWITWORKS	4	Hystrix	official-doc	Hystrix How it Works (archived)	https://github.com/Netflix/Hystrix/wiki/How-it-Works
DOC-SCA-SENTINEL	4	Spring Cloud Alibaba	official-doc	Spring Cloud Alibaba Sentinel	https://sca.aliyun.com/docs/2023/user-guide/sentinel/overview/
DOC-NACOS-DISCOVERY	5	Nacos	official-doc	服务发现	https://nacos.io/docs/latest/manual/user/naming/overview/
DOC-NACOS-PROTECT	5	Nacos	official-doc	保护阈值与健康检查	https://nacos.io/docs/latest/manual/user/naming/health-and-metadata/
